i R \phi
685 0.0866249678685899 1.4595025116484255
686 0.08648823540297691 1.4762474316307743
687 0.08664154226653628 1.4652921361724442
688 0.0855641463430409 1.4679155424610029
689 0.08591797123372043 1.4848139276256138
690 0.08575164861772429 1.4835849999957513
691 0.08640496351811268 1.46302279603824
692 0.08648270490846179 1.4474477561482617
693 0.08735453171933244 1.4285739094833567
694 0.08723785765445764 1.443739202632712
695 0.08807880628396056 1.4404435182015582
696 0.08855443147983799 1.4501240176502805
697 0.08872419841546328 1.4547052045199005
698 0.08961666674760431 1.4626060202111768
699 0.0898496062089194 1.4423602756643896
700 0.09119241656289442 1.4496246209792512
701 0.09232648866714006 1.4622783054567199
702 0.09371033292040723 1.4593013468788165
703 0.09325693198992327 1.458988915177487
704 0.09291863022510716 1.475794394886972
